id,name,description
,,
,,
,,
,,
,,
,,
80973123,Продавец-консультант ( пос. Песочный ),"<p><strong>В связи с расширением розничной сети, ищем в свою команду продавцов - консультантов. Если ты хочешь развиваться в пенной культуре, получать новые знания и опыт, то мы ждем именно тебя!</strong></p> <p><strong>Наши преимущества:</strong></p> <ul> <li><strong>35</strong><strong>00 рублей </strong><strong>- </strong><strong>Достойный оклад за смену по г. Санкт-Петербургу и Ленинградской обл.;</strong>​​​​</li> <li>Оплачиваемая 5-ти дневная стажировка с наставником;</li> <li>Приведи друга - получи 5000 рублей!</li> <li>Ежемесячная премия от компании за стаж;<br /><br /><strong>Вам предстоит:</strong></li> <li>Активные продажи разливного пива, а также сопутствующих товаров;</li> <li>Консультирование Гостей по всему ассортименту магазина;</li> <li>Приём денежных средств, ведение кассового учёта;</li> <li>Прием и выкладка товара;</li> <li>Открытие /закрытие магазина;</li> <li>Поддержание чистоты на рабочем месте.</li> </ul> <p><strong>Мы ценим:</strong></p> <ul> <li>Навыки активных продаж;</li> <li>Любовь к чистоте и порядку;</li> <li>Пунктуальность;</li> <li>Ответственность;</li> <li>Открытость и коммуникабельность.</li> </ul> <p> </p> <p>Рассматриваем также кандидатов с опытом работы по специальностям: кавист, бармен, барбек, бариста, официант, администратор, менеджер по продажам, кассир, консультант, мерчендайзер, товаровед, менеджер по продажам, оператор АЗС, без опыта.</p> <p>Также приветствуется опыт работы в Красное&amp;белое, Градусы, РосАл, РусАлка, Ароматный мир, Винлаб, Вкусно и Точка, Бургер Кинг, Магнит, Пятерочка, Дикси, Вкустер, ВкусВилл, Перекресток, Лента, Верный, Улыбка радуги, Ашан, Мetro, МТС, Связной, Мясная Лавка, Суши Wok, Цех85, булочные Ф. Вольчека, Petshop, Зоомагазин ЗооОптТорг, Токио Сити, Евразия, и т.д.</p>"
81187127,Кассир в Додо Пиццу,"<strong>Мы — сеть пиццерий №1 в России. Приглашаем присоединиться к нашей команде кассиром. К нам вы можете прийти без опыта: мы все расскажем и всему научим.<br /><br />В Додо есть то, что важно:</strong><br />- гибкий график от 6 часов в день;<br />- работа рядом с домом или учебой;<br />- стабильная зарплата — платим до 240₽ в час + премия;<br />- премия за полную выработку часов;<br />- повышенная ставка в праздничные дни;<br />- доплата за стаж;<br />- премия лучшему сотруднику по итогам месяца;<br />- премия Приведи друга до 5000₽;<br />- ежемесячная доплата сотрудникам с детьми от 2000₽;<br />- отсутствие штрафов за ошибки;<br />- 100% оплата мед.книжки;<br />- официальное оформление;<br />- бесплатные обеды, униформа;<br />- ежедневная скидка на всё меню 15%;<br />- обучение и быстрый рост.<br /><br /><strong>Что делают наши кассиры:</strong><br />- принимают заказы и помогают гостю с выбором;<br />- проводят оплату;<br />- выдают заказ и доставляют до столика;<br />- поддерживают чистоту в пиццерии.<br /><br />К нам вы можете прийти без опыта: мы все расскажем и всему научим.<br />Когда вы начнете работать в Додо, сначала пройдете оплачиваемое обучение со стажировкой, а затем приступите к основным задачам.<br />С начала работы вас будет сопровождать инструктор, который все расскажет и познакомит с командой.<br /><br /><strong>Адрес пиццерии:</strong><br />- г. Уссурийск, ул. Комсомольская, 28.<br /><br />Если вам интересны вакансии: повар, кассир, продавец, консультант, официант, администратор, сборщик заказов, то вам подойдет наша вакансия. Можно без опыта или подработка. Также приветствуется опыт работы в &quot;Вкусно и Точка&quot;, &quot;Бургер Кинг&quot;, &quot;KFC&quot;, &quot;Domino&#39;s Pizza&quot;, &quot;Папа Джонс&quot;, &quot;Ташир Пицца&quot; и др.<br /><br /><strong>Нажмите «Откликнуться», чтобы мы связались с вами в ближайшее время и пригласили на собеседование. </strong><strong> </strong>"
,,
,,
